City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
271,Manzhouli,CN,2022-04-13 16:27:22,49.6,117.4333,31.51,46,46,5.66
272,Maudaha,IN,2022-04-13 16:27:22,25.6833,80.1167,97.56,11,35,7.16
273,Wagar,SD,2022-04-13 16:27:23,16.1525,36.2032,102.36,16,8,6.26
274,Narsaq,GL,2022-04-13 16:27:23,60.9167,-46.05,52.02,54,100,8.43
275,Iracemapolis,BR,2022-04-13 16:27:24,-22.5806,-47.5186,83.8,69,81,7.45
276,Vryheid,ZA,2022-04-13 16:27:24,-27.7695,30.7917,64.31,59,49,4.61
277,Hamilton,US,2022-04-13 16:26:35,39.1834,-84.5333,65.66,92,100,16.11
278,Harper,LR,2022-04-13 16:27:25,4.375,-7.7169,84.49,74,92,13.2
279,Vao,NC,2022-04-13 16:28:25,-22.6667,167.4833,75.15,68,6,1.23
280,Venado Tuerto,AR,2022-04-13 16:28:26,-33.7456,-61.9688,70.77,24,0,6.93
281,Tabas,IR,2022-04-13 16:28:26,33.5959,56.9244,85.17,11,65,2.71
282,Korla,CN,2022-04-13 16:28:27,41.7597,86.1469,61.23,32,76,7.14
283,Khao Yoi,TH,2022-04-13 16:28:27,13.2403,99.8243,88.99,65,100,4.59
284,Hanyang,CN,2022-04-13 16:28:28,32.1371,105.5126,59.25,82,100,3.2
285,Caravelas,BR,2022-04-13 16:28:28,-17.7125,-39.2481,83.28,68,49,7.2
286,Cabo San Lucas,MX,2022-04-13 16:26:13,22.8909,-109.9124,81.61,51,0,11.5
287,Ahipara,NZ,2022-04-13 16:28:29,-35.1667,173.1667,61.83,74,75,12.95
288,Huarmey,PE,2022-04-13 16:28:30,-10.0681,-78.1522,71.51,74,9,11.18
289,Neuquen,AR,2022-04-13 16:25:15,-38.9516,-68.0591,67.89,30,0,4.61
290,Mayo,US,2022-04-13 16:28:31,38.8876,-76.5119,81.5,62,0,8.05
291,Haines Junction,CA,2022-04-13 16:28:31,60.7522,-137.5108,8.55,56,11,0.0
292,Darhan,MN,2022-04-13 16:28:32,49.4867,105.9228,29.62,59,100,14.2
293,Dingwall,GB,2022-04-13 16:28:33,57.5953,-4.4272,51.08,89,100,4.23
294,Norman Wells,CA,2022-04-13 16:28:33,65.282,-126.8329,8.64,56,20,3.44
295,Sabinas Hidalgo,MX,2022-04-13 16:28:34,26.5,-100.1667,92.7,15,0,9.57
